2026-05-10 21:07:06 [main] INFO  viewProduct - Initializing driver
2026-05-10 21:07:14 [main] INFO  viewProduct - Opening URL
2026-05-10 21:07:16 [main] INFO  viewProduct - Logging into application
2026-05-10 21:07:17 [main] INFO  ViewProduct - Started View Product Test
2026-05-10 21:07:18 [main] INFO  Teststep1 - Screenshot saved at: C:\Users\Admin\eclipse\java-2025-06\eclipse\Ends_to_End\Screnshots\ViewProduct\Teststep1_1778427437976.png
2026-05-10 21:07:18 [main] INFO  ViewProduct - View product done
2026-05-10 21:07:18 [main] INFO  ViewProduct - Clicked Continue Shopping
2026-05-10 21:07:18 [main] INFO  Teststep2 - Screenshot saved at: C:\Users\Admin\eclipse\java-2025-06\eclipse\Ends_to_End\Screnshots\ViewProduct\Teststep2_1778427438446.png
2026-05-10 21:07:18 [main] INFO  ViewProduct - Continue Shopping Completed
2026-05-10 21:07:19 [main] INFO  viewProduct - TEST PASSED : viewProduct
2026-05-10 21:07:19 [main] INFO  viewProduct - Driver Quit
